Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
M3: addition cpu,	256,	0.000144066,	0.000003165,	256
M3: addition cpu,	256,	0.000143849,	0.000004267,	512
M3: addition cpu,	256,	0.000144668,	0.000005345,	1024
M3: addition cpu,	256,	0.000143975,	0.000003771,	2048
M3: addition cpu,	256,	0.000144343,	0.000003330,	4096
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
M3: addition cpu,	512,	0.000625112,	0.000089440,	2
M3: addition cpu,	512,	0.000543113,	0.000000981,	4
M3: addition cpu,	512,	0.000554768,	0.000009833,	8
M3: addition cpu,	512,	0.000573441,	0.000006409,	16
M3: addition cpu,	512,	0.000575900,	0.000008027,	32
M3: addition cpu,	512,	0.000578671,	0.000006433,	64
M3: addition cpu,	512,	0.000580336,	0.000006172,	128
M3: addition cpu,	512,	0.000578241,	0.000008956,	256
M3: addition cpu,	512,	0.000579703,	0.000009724,	512
M3: addition cpu,	512,	0.000578596,	0.000010745,	1024
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
M3: addition cpu,	1024,	0.002826751,	0.000429239,	2
M3: addition cpu,	1024,	0.002353559,	0.000030123,	4
M3: addition cpu,	1024,	0.002335933,	0.000028722,	8
M3: addition cpu,	1024,	0.002344478,	0.000019287,	16
M3: addition cpu,	1024,	0.002346505,	0.000022099,	32
M3: addition cpu,	1024,	0.002337607,	0.000024070,	64
M3: addition cpu,	1024,	0.002344192,	0.000023670,	128
M3: addition cpu,	1024,	0.002342984,	0.000037207,	256
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
M3: addition gpu multi core 2,	2,	0.002659006,	0.002118891,	2
M3: addition gpu multi core 2,	2,	0.000549723,	0.000026150,	4
M3: addition gpu multi core 2,	2,	0.000507815,	0.000006751,	8
M3: addition gpu multi core 2,	2,	0.000536142,	0.000046398,	16
M3: addition gpu multi core 2,	2,	0.000507704,	0.000013354,	32
M3: addition gpu multi core 2,	2,	0.000523453,	0.000047160,	64
M3: addition gpu multi core 2,	2,	0.000531534,	0.000063301,	128
M3: addition gpu multi core 2,	2,	0.000537586,	0.000044765,	256
M3: addition gpu multi core 2,	2,	0.000532539,	0.000042057,	512
M3: addition gpu multi core 2,	2,	0.000528327,	0.000063458,	1024
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
M3: addition gpu multi core 2,	4,	0.000906656,	0.000361893,	2
M3: addition gpu multi core 2,	4,	0.000508066,	0.000016841,	4
M3: addition gpu multi core 2,	4,	0.000586272,	0.000087911,	8
M3: addition gpu multi core 2,	4,	0.000513445,	0.000033469,	16
M3: addition gpu multi core 2,	4,	0.000516112,	0.000017946,	32
M3: addition gpu multi core 2,	4,	0.000536022,	0.000047642,	64
M3: addition gpu multi core 2,	4,	0.000528211,	0.000033590,	128
M3: addition gpu multi core 2,	4,	0.000527362,	0.000037864,	256
M3: addition gpu multi core 2,	4,	0.000532202,	0.000074220,	512
M3: addition gpu multi core 2,	4,	0.000528180,	0.000037343,	1024
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
M3: addition gpu multi core 2,	8,	0.000939362,	0.000362966,	2
M3: addition gpu multi core 2,	8,	0.000515419,	0.000005013,	4
M3: addition gpu multi core 2,	8,	0.000524771,	0.000028079,	8
M3: addition gpu multi core 2,	8,	0.000506794,	0.000007198,	16
M3: addition gpu multi core 2,	8,	0.000517891,	0.000022507,	32
M3: addition gpu multi core 2,	8,	0.000514617,	0.000020537,	64
M3: addition gpu multi core 2,	8,	0.000524687,	0.000031838,	128
M3: addition gpu multi core 2,	8,	0.000529082,	0.000035617,	256
M3: addition gpu multi core 2,	8,	0.000530349,	0.000059176,	512
M3: addition gpu multi core 2,	8,	0.000529710,	0.000061635,	1024
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
M3: addition gpu multi core 2,	16,	0.000928641,	0.000383695,	2
M3: addition gpu multi core 2,	16,	0.000561486,	0.000023007,	4
M3: addition gpu multi core 2,	16,	0.000520787,	0.000011498,	8
M3: addition gpu multi core 2,	16,	0.000517556,	0.000020073,	16
M3: addition gpu multi core 2,	16,	0.000521240,	0.000036934,	32
M3: addition gpu multi core 2,	16,	0.000545069,	0.000062098,	64
M3: addition gpu multi core 2,	16,	0.000542472,	0.000045681,	128
M3: addition gpu multi core 2,	16,	0.000541699,	0.000071424,	256
M3: addition gpu multi core 2,	16,	0.000533932,	0.000040867,	512
M3: addition gpu multi core 2,	16,	0.000552051,	0.000074797,	1024
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
M3: addition gpu multi core 2,	32,	0.000915083,	0.000305515,	2
M3: addition gpu multi core 2,	32,	0.000527813,	0.000022417,	4
M3: addition gpu multi core 2,	32,	0.000521648,	0.000025228,	8
M3: addition gpu multi core 2,	32,	0.000527916,	0.000036599,	16
M3: addition gpu multi core 2,	32,	0.000540738,	0.000046705,	32
M3: addition gpu multi core 2,	32,	0.000531271,	0.000056523,	64
M3: addition gpu multi core 2,	32,	0.000545835,	0.000048064,	128
M3: addition gpu multi core 2,	32,	0.000528160,	0.000032859,	256
M3: addition gpu multi core 2,	32,	0.000528681,	0.000036531,	512
M3: addition gpu multi core 2,	32,	0.000534456,	0.000061692,	1024
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
M3: addition gpu multi core 2,	64,	0.001007101,	0.000450317,	2
M3: addition gpu multi core 2,	64,	0.000537975,	0.000011100,	4
M3: addition gpu multi core 2,	64,	0.000530406,	0.000014746,	8
M3: addition gpu multi core 2,	64,	0.000556788,	0.000070617,	16
M3: addition gpu multi core 2,	64,	0.000544239,	0.000035356,	32
M3: addition gpu multi core 2,	64,	0.000539379,	0.000040345,	64
M3: addition gpu multi core 2,	64,	0.000548346,	0.000042509,	128
M3: addition gpu multi core 2,	64,	0.000549004,	0.000046342,	256
M3: addition gpu multi core 2,	64,	0.000526828,	0.000066516,	512
M3: addition gpu multi core 2,	64,	0.000519832,	0.000066410,	1024
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
M3: addition gpu multi core 2,	128,	0.001020101,	0.000375060,	2
M3: addition gpu multi core 2,	128,	0.000556488,	0.000013731,	4
M3: addition gpu multi core 2,	128,	0.000570987,	0.000028106,	8
M3: addition gpu multi core 2,	128,	0.000561448,	0.000035882,	16
M3: addition gpu multi core 2,	128,	0.000580590,	0.000040787,	32
M3: addition gpu multi core 2,	128,	0.000567969,	0.000040324,	64
M3: addition gpu multi core 2,	128,	0.000575322,	0.000041105,	128
M3: addition gpu multi core 2,	128,	0.000571343,	0.000067352,	256
M3: addition gpu multi core 2,	128,	0.000577741,	0.000046251,	512
M3: addition gpu multi core 2,	128,	0.000575348,	0.000064793,	1024
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
M3: addition gpu multi core 2,	256,	0.001243969,	0.000392345,	2
M3: addition gpu multi core 2,	256,	0.000843282,	0.000008022,	4
M3: addition gpu multi core 2,	256,	0.000865075,	0.000042214,	8
M3: addition gpu multi core 2,	256,	0.000856562,	0.000045022,	16
M3: addition gpu multi core 2,	256,	0.000897917,	0.000173804,	32
M3: addition gpu multi core 2,	256,	0.000866651,	0.000042581,	64
M3: addition gpu multi core 2,	256,	0.000861384,	0.000051211,	128
M3: addition gpu multi core 2,	256,	0.000858041,	0.000040004,	256
M3: addition gpu multi core 2,	256,	0.000855269,	0.000040654,	512
M3: addition gpu multi core 2,	256,	0.000835169,	0.000082523,	1024
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
M3: addition gpu multi core 2,	512,	0.002791474,	0.000348585,	2
M3: addition gpu multi core 2,	512,	0.002139882,	0.000099559,	4
M3: addition gpu multi core 2,	512,	0.002121170,	0.000033933,	8
M3: addition gpu multi core 2,	512,	0.002054426,	0.000033364,	16
