Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
multiplication gpu multi core unwrapping i,	16,	0.000580830,	0.000103285,	1024
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
multiplication gpu multi core unwrapping i,	32,	0.000998014,	0.000325277,	2
multiplication gpu multi core unwrapping i,	32,	0.000664241,	0.000017012,	4
multiplication gpu multi core unwrapping i,	32,	0.000652253,	0.000033184,	8
multiplication gpu multi core unwrapping i,	32,	0.000652347,	0.000034476,	16
multiplication gpu multi core unwrapping i,	32,	0.000663417,	0.000041647,	32
multiplication gpu multi core unwrapping i,	32,	0.000667262,	0.000082067,	64
multiplication gpu multi core unwrapping i,	32,	0.000647393,	0.000039857,	128
multiplication gpu multi core unwrapping i,	32,	0.000647455,	0.000051369,	256
multiplication gpu multi core unwrapping i,	32,	0.000701725,	0.000105429,	512
multiplication gpu multi core unwrapping i,	32,	0.000620909,	0.000066412,	1024
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
multiplication gpu multi core unwrapping i,	64,	0.000934444,	0.000267739,	2
multiplication gpu multi core unwrapping i,	64,	0.000666612,	0.000015367,	4
multiplication gpu multi core unwrapping i,	64,	0.000653537,	0.000026736,	8
multiplication gpu multi core unwrapping i,	64,	0.000644908,	0.000017444,	16
multiplication gpu multi core unwrapping i,	64,	0.000643948,	0.000021507,	32
multiplication gpu multi core unwrapping i,	64,	0.000658630,	0.000036340,	64
multiplication gpu multi core unwrapping i,	64,	0.000680487,	0.000071352,	128
multiplication gpu multi core unwrapping i,	64,	0.000659076,	0.000052633,	256
multiplication gpu multi core unwrapping i,	64,	0.000675474,	0.000317091,	512
multiplication gpu multi core unwrapping i,	64,	0.000678140,	0.000127543,	1024
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
multiplication gpu multi core unwrapping i,	128,	0.001234438,	0.000270007,	2
multiplication gpu multi core unwrapping i,	128,	0.000962316,	0.000032194,	4
multiplication gpu multi core unwrapping i,	128,	0.000958548,	0.000063156,	8
multiplication gpu multi core unwrapping i,	128,	0.000945301,	0.000030966,	16
multiplication gpu multi core unwrapping i,	128,	0.000932291,	0.000018671,	32
multiplication gpu multi core unwrapping i,	128,	0.000961012,	0.000048775,	64
multiplication gpu multi core unwrapping i,	128,	0.000952723,	0.000085496,	128
multiplication gpu multi core unwrapping i,	128,	0.000881904,	0.000072772,	256
multiplication gpu multi core unwrapping i,	128,	0.000848219,	0.000054021,	512
multiplication gpu multi core unwrapping i,	128,	0.000845624,	0.000148140,	1024
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
multiplication gpu multi core unwrapping i,	256,	0.002631052,	0.000280692,	2
multiplication gpu multi core unwrapping i,	256,	0.002370013,	0.000103729,	4
multiplication gpu multi core unwrapping i,	256,	0.002351149,	0.000026829,	8
multiplication gpu multi core unwrapping i,	256,	0.002356475,	0.000034772,	16
multiplication gpu multi core unwrapping i,	256,	0.002348362,	0.000053528,	32
multiplication gpu multi core unwrapping i,	256,	0.002357931,	0.000119742,	64
multiplication gpu multi core unwrapping i,	256,	0.002369327,	0.000085836,	128
multiplication gpu multi core unwrapping i,	256,	0.002348050,	0.000054091,	256
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
multiplication gpu multi core unwrapping i,	512,	0.013697045,	0.000436683,	2
multiplication gpu multi core unwrapping i,	512,	0.013590659,	0.000205023,	4
multiplication gpu multi core unwrapping i,	512,	0.013304936,	0.000085857,	8
multiplication gpu multi core unwrapping i,	512,	0.013473314,	0.000216624,	16
multiplication gpu multi core unwrapping i,	512,	0.013551510,	0.000199349,	32
multiplication gpu multi core unwrapping i,	512,	0.013483961,	0.000204801,	64
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
multiplication gpu multi core unwrapping i,	1024,	0.090894411,	0.001344806,	2
multiplication gpu multi core unwrapping i,	1024,	0.089346554,	0.000810777,	4
multiplication gpu multi core unwrapping i,	1024,	0.089650435,	0.000696583,	8
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
multiplication gpu multi core unwrapping i,	2048,	0.881492354,	0.001240202,	2
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
multiplication gpu multi core unwrapping i,	4096,	7.229916753,	0.010104600,	2
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
shared memory multiplication,	2,	0.000843360,	0.000275674,	2
shared memory multiplication,	2,	0.000576436,	0.000021459,	4
shared memory multiplication,	2,	0.000544353,	0.000013954,	8
shared memory multiplication,	2,	0.000547331,	0.000015977,	16
shared memory multiplication,	2,	0.000571569,	0.000052314,	32
shared memory multiplication,	2,	0.000554173,	0.000035144,	64
shared memory multiplication,	2,	0.000562496,	0.000040443,	128
shared memory multiplication,	2,	0.000647011,	0.000090177,	256
shared memory multiplication,	2,	0.000570460,	0.000055967,	512
shared memory multiplication,	2,	0.000589629,	0.000274229,	1024
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
shared memory multiplication,	4,	0.001033734,	0.000315611,	2
shared memory multiplication,	4,	0.000703635,	0.000046619,	4
shared memory multiplication,	4,	0.000685325,	0.000035977,	8
shared memory multiplication,	4,	0.000670576,	0.000039386,	16
shared memory multiplication,	4,	0.000734255,	0.000415767,	32
shared memory multiplication,	4,	0.000656219,	0.000050219,	64
shared memory multiplication,	4,	0.000704597,	0.000068856,	128
shared memory multiplication,	4,	0.000667806,	0.000055074,	256
shared memory multiplication,	4,	0.000653766,	0.000041496,	512
shared memory multiplication,	4,	0.000655149,	0.000053041,	1024
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
shared memory multiplication,	8,	0.000932008,	0.000322482,	2
shared memory multiplication,	8,	0.000592782,	0.000016484,	4
shared memory multiplication,	8,	0.000578267,	0.000037773,	8
